"Rank","Team","Conference","Score","Elo","True Margin","Wins","Losses"
114,"Southeastern Louisiana","Southland",4.49,2186,-8.78,0,1
115,"Portland State","Big Sky",4.48,2186,-9,0,1
116,"Southern Utah","Big Sky",4.48,2200,-19.5,1,1
117,"Louisiana-Monroe","Sun Belt Conference",4.46,2190,-12.77,3,4
118,"North Carolina","Atlantic Coast Conference",4.45,2165,6.08,1,4
119,"South Carolina State","Mid-Eastern",4.45,2187,-10.8,0,1
120,"Middle Tennessee","Conference USA",4.45,2183,-7.61,3,4
121,"Eastern Kentucky","OVC",4.44,2186,-10.76,0,1
122,"James Madison","Colonial",4.44,2186,-10.41,0,1
123,"Illinois State","MVFC",4.38,2186,-12.53,0,1
124,"Liberty","Big South",4.32,2186,-14.19,0,1
125,"South Florida","American Athletic Conference",4.31,2179,-9.23,2,4
126,"Colorado State","Mountain West Conference",4.3,2175,-6.2,2,4
127,"Kentucky","Southeastern Conference",4.29,2154,9.81,1,5
128,"Florida Atlantic","Conference USA",4.22,2164,0.01,2,5
129,"New Mexico","Mountain West Conference",4.17,2173,-8.5,2,4
130,"New Hampshire","Colonial",4.11,2186,-20.25,0,1
131,"Northern Arizona","Big Sky",4.1,2186,-20.89,0,1
132,"Central Arkansas","Southland",4.09,2186,-21.09,0,1
133,"Sam Houston State","Southland",4.08,2187,-21.83,0,1
134,"Tulsa","Conference USA",4.07,2175,-12.78,2,4
135,"Central Michigan","Mid-American Conference",4.03,2190,-25.45,3,4
136,"Kent State","Mid-American Conference",4,2166,-8.05,2,5
137,"California","Pac-12 Conference",3.98,2154,0.02,1,5
138,"SMU","American Athletic Conference",3.96,2163,-6.86,1,4
139,"South Dakota State","MVFC",3.94,2187,-26.05,0,1
140,"UTSA","Conference USA",3.93,2164,-9.1,2,5
141,"Northern Colorado","Big Sky",3.89,2186,-27.18,0,1
142,"Presbyterian","Big South",3.88,2186,-27.46,0,1
143,"South Dakota","MVFC",3.88,2186,-27.47,0,1
144,"Tennessee Tech","OVC",3.83,2187,-29.42,0,1
145,"Wofford","Southern",3.78,2186,-30.38,0,1
146,"Cal Poly","Big Sky",3.78,2173,-20.22,0,2
147,"Youngstown State","MVFC",3.75,2188,-32,0,1
148,"Jackson State","Southwestern",3.75,2186,-31.35,0,1
149,"Louisiana Tech","Conference USA",3.71,2174,-23.26,2,4
150,"Stephen F. Austin","Southland",3.68,2187,-33.66,0,1
151,"Old Dominion","Colonial",3.68,2174,-23.87,0,2
152,"Howard","Mid-Eastern",3.68,2186,-33.48,0,1
153,"Idaho State","Big Sky",3.67,2188,-34.53,0,1
154,"Prairie View A&M","Southwestern",3.65,2187,-34.69,0,1
155,"UAB","Conference USA",3.65,2175,-25.32,2,4
156,"Alcorn St.","Southwestern",3.53,2186,-37.37,0,1
157,"Norfolk State","Mid-Eastern",3.48,2186,-38.99,0,1
158,"UC Davis","Big Sky",3.42,2186,-40.71,0,1
159,"N.C. Central","Mid-Eastern",3.38,2186,-42.3,0,1
160,"Indiana State","MVFC",3.37,2173,-32.22,0,2
161,"Tennessee-Martin","OVC",3.36,2186,-42.38,0,1
162,"Southern University","Southwestern",3.29,2186,-45.02,0,1
163,"Colgate","Patriot",3.29,2186,-45.13,0,1
164,"Akron","Mid-American Conference",3.27,2143,-12.17,1,6
165,"Connecticut","American Athletic Conference",3.25,2138,-9.25,0,5
166,"Murray State","OVC",3.2,2174,-38.06,0,2
167,"Delaware","Colonial",3.13,2187,-50.22,0,1
168,"Western Illinois","MVFC",3.12,2174,-40.62,0,2
169,"Massachusetts","Mid-American Conference",3.11,2152,-24.01,1,5
170,"Morgan State","Mid-Eastern",3.1,2173,-40.44,0,2
171,"Purdue","Big Ten Conference",3.03,2152,-26.69,1,5
172,"Nicholls State","Southland",3.02,2185,-52.2,1,2
173,"Virginia Military","Big South",2.97,2186,-54.43,0,1
174,"Wagner","Northeast",2.97,2185,-53.75,0,1
175,"Gardner-Webb","Big South",2.95,2187,-55.67,0,1
176,"Sacramento State","Big Sky",2.93,2174,-45.79,0,2
177,"Grambling","Southwestern",2.87,2186,-57.14,0,1
178,"Air Force","Mountain West Conference",2.87,2137,-20.11,1,6
179,"Temple","American Athletic Conference",2.84,2127,-13.17,0,6
180,"Lamar","Southland",2.83,2174,-49.24,0,2
181,"Hawai'i","Mountain West Conference",2.82,2127,-13.51,0,6
182,"Eastern Michigan","Mid-American Conference",2.76,2149,-32.02,1,5
183,"UTEP","Conference USA",2.73,2144,-29.37,1,5
184,"Florida A&M","Mid-Eastern",2.7,2188,-63.71,0,1
185,"Arkansas-Pine Bluff","Southwestern",2.61,2186,-65.24,0,1
186,"Western Carolina","Southern",2.48,2162,-50.48,0,3
187,"Austin Peay","OVC",2.48,2161,-49.83,0,3
188,"Elon","Southern",2.45,2186,-69.97,0,1
189,"Florida International","Conference USA",2.4,2151,-44.36,1,5
190,"Georgia State","Sun Belt Conference",2.33,2128,-29.23,0,6
191,"Idaho","Independent",2.32,2141,-39.59,1,6
192,"Southern Mississippi","Conference USA",2.19,2137,-40.23,0,5
193,"Weber State","Big Sky",2.1,2174,-70.99,0,2
194,"Northwestern State","Southland",2.08,2173,-70.48,0,2
195,"Miami (Ohio)","Mid-American Conference",1.84,2123,-40.12,0,6
196,"Western Michigan","Mid-American Conference",1.67,2116,-39.45,0,7
197,"Savannah State","Mid-Eastern",1.51,2175,-89.37,0,2
198,"New Mexico State","Independent",1.4,2125,-54.67,0,6
