"Rank","Team","Conference","Score","Elo","True Margin","Wins","Losses"
110,"Eastern Kentucky","OVC",4.49,2186,0.26,0,1
111,"Missouri State","MVFC",4.47,2186,0.15,0,1
112,"Troy","Sun Belt Conference",4.44,2198,-16.11,2,2
113,"SMU","American Athletic Conference",4.44,2187,-2.8,1,2
114,"Southeast Missouri State","OVC",4.44,2187,-2.21,0,1
115,"James Madison","Colonial",4.39,2186,-2.64,0,1
116,"Montana State","Big Sky",4.37,2186,-3.36,0,1
117,"William & Mary","Colonial",4.35,2186,-4.59,0,1
118,"New Mexico","Mountain West Conference",4.34,2186,-4.76,1,2
119,"Portland State","Big Sky",4.32,2186,-4.91,0,1
120,"Central Arkansas","Southland",4.29,2186,-6.66,0,1
121,"Stony Brook","Big South",4.28,2185,-5.47,0,1
122,"Northern Arizona","Big Sky",4.25,2186,-8.11,0,1
123,"Iowa State","Big 12 Conference",4.17,2174,6.6,0,2
124,"Villanova","Colonial",4.12,2186,-12.45,0,1
125,"Southeastern Louisiana","Southland",4.08,2186,-13.08,0,1
126,"San Jose State","Mountain West Conference",4.06,2187,-15.57,1,2
127,"Northern Colorado","Big Sky",4.05,2186,-14.62,0,1
128,"Illinois State","MVFC",4.05,2186,-14.83,0,1
129,"UTEP","Conference USA",4.02,2185,-13.63,1,2
130,"Akron","Mid-American Conference",4.02,2175,0.22,1,3
131,"Tulsa","Conference USA",4.02,2188,-17.86,1,2
132,"Connecticut","American Athletic Conference",3.96,2164,13.05,0,3
133,"UAB","Conference USA",3.94,2188,-20.48,1,2
134,"Sam Houston State","Southland",3.89,2187,-20.88,0,1
135,"Colorado State","Mountain West Conference",3.88,2175,-4.45,1,3
136,"Liberty","Big South",3.87,2186,-20.76,0,1
137,"South Carolina State","Mid-Eastern",3.8,2187,-23.71,0,1
138,"Wofford","Southern",3.79,2186,-23.6,0,1
139,"South Dakota State","MVFC",3.68,2187,-27.6,0,1
140,"South Dakota","MVFC",3.68,2186,-27.11,0,1
141,"Florida Atlantic","Conference USA",3.68,2175,-11.81,1,3
142,"Alcorn St.","Southwestern",3.64,2186,-27.72,0,1
143,"Howard","Mid-Eastern",3.63,2186,-28.91,0,1
144,"Delaware","Colonial",3.6,2187,-30.43,0,1
145,"Idaho State","Big Sky",3.59,2188,-31.52,0,1
146,"New Hampshire","Colonial",3.57,2186,-30.23,0,1
147,"Kent State","Mid-American Conference",3.57,2175,-15.66,1,3
148,"Old Dominion","Colonial",3.48,2174,-17.27,0,2
149,"Louisiana Tech","Conference USA",3.45,2174,-18.24,1,3
150,"Prairie View A&M","Southwestern",3.42,2187,-36.52,0,1
151,"Army","Independent",3.42,2174,-18.55,1,3
152,"Presbyterian","Big South",3.4,2186,-36.5,0,1
153,"Stephen F. Austin","Southland",3.38,2187,-38.07,0,1
154,"Air Force","Mountain West Conference",3.37,2173,-19.78,1,3
155,"Tennessee Tech","OVC",3.36,2187,-38.57,0,1
156,"Eastern Michigan","Mid-American Conference",3.36,2174,-21.31,1,3
157,"Purdue","Big Ten Conference",3.35,2174,-21.54,1,3
158,"Norfolk State","Mid-Eastern",3.33,2186,-38.06,0,1
159,"Cal Poly","Big Sky",3.28,2173,-22.53,0,2
160,"UC Davis","Big Sky",3.23,2186,-41.68,0,1
161,"Jackson State","Southwestern",3.21,2186,-43.13,0,1
162,"N.C. Central","Mid-Eastern",3.16,2186,-44.75,0,1
163,"Temple","American Athletic Conference",3.11,2162,-12.92,0,3
164,"San Diego State","Mountain West Conference",3.1,2162,-14.17,0,3
165,"Indiana State","MVFC",3.08,2173,-29.23,0,2
166,"Colgate","Patriot",3.04,2186,-48.83,0,1
167,"Youngstown State","MVFC",2.96,2188,-52.74,0,1
168,"Lamar","Southland",2.85,2174,-38.58,0,2
169,"Southern University","Southwestern",2.84,2186,-55.35,0,1
170,"Central Michigan","Mid-American Conference",2.83,2173,-37.2,1,3
171,"Wagner","Northeast",2.83,2185,-54.42,0,1
172,"Tennessee-Martin","OVC",2.82,2186,-55.38,0,1
173,"Virginia Military","Big South",2.82,2186,-56.1,0,1
174,"Nicholls State","Southland",2.81,2185,-54.91,1,2
175,"Southern Mississippi","Conference USA",2.81,2163,-24.58,0,3
176,"Hawai'i","Mountain West Conference",2.77,2160,-22.4,0,3
177,"Western Illinois","MVFC",2.77,2174,-41.1,0,2
178,"Gardner-Webb","Big South",2.77,2187,-58.52,0,1
179,"Elon","Southern",2.76,2186,-58.04,0,1
180,"Western Carolina","Southern",2.72,2173,-41.42,0,2
181,"Grambling","Southwestern",2.69,2186,-59.89,0,1
182,"Murray State","OVC",2.66,2174,-44.69,0,2
183,"Miami (Ohio)","Mid-American Conference",2.55,2161,-31.29,0,3
184,"South Florida","American Athletic Conference",2.41,2161,-35.32,0,3
185,"Florida A&M","Mid-Eastern",2.4,2188,-72.1,0,1
186,"Morgan State","Mid-Eastern",2.37,2173,-53.35,0,2
187,"Arkansas-Pine Bluff","Southwestern",2.22,2186,-76.17,0,1
188,"Sacramento State","Big Sky",2.18,2174,-60.27,0,2
189,"Idaho","Independent",2.17,2150,-28.7,0,4
190,"Massachusetts","Mid-American Conference",2.09,2149,-30,0,4
191,"Georgia State","Sun Belt Conference",1.96,2149,-35.22,0,4
192,"Florida International","Conference USA",1.95,2151,-38.06,0,4
193,"Northwestern State","Southland",1.93,2173,-67.51,0,2
194,"Austin Peay","OVC",1.92,2161,-52.42,0,3
195,"Western Michigan","Mid-American Conference",1.81,2150,-41.59,0,4
196,"New Mexico State","Independent",1.66,2150,-46.56,0,4
197,"Weber State","Big Sky",1.62,2174,-80.09,0,2
198,"Savannah State","Mid-Eastern",1.05,2175,-100.4,0,2
