"Rank","Team","Conference","Score","Elo","True Margin","Wins","Losses"
144,"South Florida","American Athletic Conference",3.58,2166,-13.28,1,4
145,"Howard","Mid-Eastern",3.58,2186,-30.29,0,1
146,"Cal Poly","Big Sky",3.57,2173,-19.33,0,2
147,"Idaho State","Big Sky",3.56,2188,-31.77,0,1
148,"Old Dominion","Colonial",3.55,2174,-20.9,0,2
149,"Jackson State","Southwestern",3.45,2186,-34.38,0,1
150,"Tennessee Tech","OVC",3.44,2187,-35.23,0,1
151,"Louisiana Tech","Conference USA",3.44,2174,-24.55,2,4
152,"Tulsa","Conference USA",3.4,2162,-14.9,1,4
153,"Youngstown State","MVFC",3.37,2188,-37.71,0,1
154,"Connecticut","American Athletic Conference",3.37,2151,-6.99,0,4
155,"Alcorn St.","Southwestern",3.33,2186,-37.66,0,1
156,"Norfolk State","Mid-Eastern",3.31,2186,-38.47,0,1
157,"Indiana State","MVFC",3.25,2173,-29.14,0,2
158,"Delaware","Colonial",3.24,2187,-41.3,0,1
159,"UC Davis","Big Sky",3.2,2186,-41.86,0,1
160,"Akron","Mid-American Conference",3.19,2152,-13.13,1,5
161,"Colgate","Patriot",3.15,2186,-43.71,0,1
162,"Central Michigan","Mid-American Conference",3.13,2174,-33.58,2,4
163,"Tennessee-Martin","OVC",3.13,2186,-44.03,0,1
164,"Southern University","Southwestern",3.12,2186,-44.57,0,1
165,"UAB","Conference USA",3.07,2161,-24.58,1,4
166,"Purdue","Big Ten Conference",3.06,2163,-26.53,1,4
167,"N.C. Central","Mid-Eastern",3.02,2186,-47.75,0,1
168,"Eastern Michigan","Mid-American Conference",3.02,2162,-26.79,1,4
169,"Temple","American Athletic Conference",2.99,2138,-7.68,0,5
170,"Air Force","Mountain West Conference",2.98,2149,-17.52,1,5
171,"Western Carolina","Southern",2.98,2173,-37.71,0,2
172,"Gardner-Webb","Big South",2.92,2187,-51.29,0,1
173,"Murray State","OVC",2.9,2174,-40.96,0,2
174,"Morgan State","Mid-Eastern",2.89,2173,-40.43,0,2
175,"UTEP","Conference USA",2.87,2157,-27.79,1,4
176,"Western Illinois","MVFC",2.86,2174,-42.35,0,2
177,"Nicholls State","Southland",2.85,2185,-52.39,1,2
178,"Virginia Military","Big South",2.75,2186,-56.31,0,1
179,"Wagner","Northeast",2.74,2185,-55.83,0,1
180,"Grambling","Southwestern",2.67,2186,-58.3,0,1
181,"Hawai'i","Mountain West Conference",2.67,2137,-16.98,0,5
182,"Lamar","Southland",2.6,2174,-50.36,0,2
183,"Sacramento State","Big Sky",2.57,2174,-50.85,0,2
184,"Florida A&M","Mid-Eastern",2.53,2188,-64.46,0,1
185,"Florida International","Conference USA",2.51,2165,-44.98,1,4
186,"Idaho","Independent",2.5,2153,-35.97,1,5
187,"Elon","Southern",2.38,2186,-67.71,0,1
188,"Arkansas-Pine Bluff","Southwestern",2.36,2186,-68.34,0,1
189,"Austin Peay","OVC",2.35,2161,-47.19,0,3
190,"Massachusetts","Mid-American Conference",2.35,2138,-27.96,0,5
191,"Georgia State","Sun Belt Conference",2.31,2139,-30.13,0,5
192,"Southern Mississippi","Conference USA",2,2137,-37.71,0,5
193,"Miami (Ohio)","Mid-American Conference",1.91,2137,-40.22,0,5
194,"Northwestern State","Southland",1.87,2173,-71.91,0,2
195,"Weber State","Big Sky",1.81,2174,-74.92,0,2
196,"Western Michigan","Mid-American Conference",1.64,2126,-39.63,0,6
197,"Savannah State","Mid-Eastern",1.36,2175,-89.89,0,2
198,"New Mexico State","Independent",1.02,2125,-58.16,0,6
