"Rank","Team","Conference","Score","Elo","True Margin","Wins","Losses"
55,"Bowling Green","Mid-American Conference",6.05,2226,19.85,6,3
56,"Pittsburgh","Atlantic Coast Conference",6,2216,24.58,5,4
57,"Utah","Pac-12 Conference",5.99,2189,40.49,4,5
58,"Vanderbilt","Southeastern Conference",5.98,2216,23.88,5,4
59,"Rice","Conference USA",5.89,2231,11.51,6,3
60,"Boston College","Atlantic Coast Conference",5.82,2213,20.6,5,4
61,"Syracuse","Atlantic Coast Conference",5.78,2220,14.87,5,4
62,"North Carolina","Atlantic Coast Conference",5.78,2196,28.86,4,5
63,"Penn State","Big Ten Conference",5.77,2216,16.98,5,4
64,"Ohio","Mid-American Conference",5.76,2228,9.07,6,3
65,"Mississippi State","Southeastern Conference",5.74,2194,29.44,4,5
66,"Indiana","Big Ten Conference",5.74,2193,29.53,4,5
67,"Chattanooga","Southern",5.7,2213,16.53,1,0
68,"Eastern Illinois","OVC",5.68,2200,23.41,1,1
69,"Florida","Southeastern Conference",5.68,2188,30.88,4,5
70,"Rutgers","American Athletic Conference",5.6,2225,6.26,5,3
71,"Northern Iowa","MVFC",5.6,2214,12.9,1,0
72,"Navy","Independent",5.55,2209,14.1,5,4
73,"Towson","Colonial",5.5,2214,9.62,1,0
74,"Washington State","Pac-12 Conference",5.47,2190,22.97,4,5
75,"Middle Tennessee","Conference USA",5.46,2220,4.29,6,4
76,"Maryland","Atlantic Coast Conference",5.44,2207,11.86,5,4
77,"Western Kentucky","Sun Belt Conference",5.41,2221,2.44,6,4
78,"Arkansas State","Sun Belt Conference",5.38,2215,4.92,5,4
79,"Eastern Washington","Big Sky",5.38,2198,14.71,1,1
80,"Northwestern","Big Ten Conference",5.36,2184,22.94,4,5
81,"San Jose State","Mountain West Conference",5.33,2214,4.06,5,4
82,"San Diego State","Mountain West Conference",5.32,2218,1.19,5,4
83,"Tulane","Conference USA",5.26,2218,-0.49,6,4
84,"Texas State","Sun Belt Conference",5.23,2232,-10.07,6,3
85,"Tennessee","Southeastern Conference",5.23,2184,18.51,4,6
86,"Colorado State","Mountain West Conference",5.21,2201,7.62,5,5
87,"TCU","Big 12 Conference",5.13,2178,19.02,4,6
88,"Fordham","Patriot",5.08,2212,-3.21,1,0
89,"UTSA","Conference USA",5.07,2206,0.22,5,5
90,"West Virginia","Big 12 Conference",5.07,2180,15.96,4,6
91,"Stony Brook","Big South",5.06,2185,12.49,0,1
92,"Richmond","Colonial",4.88,2187,5.58,0,1
93,"Wake Forest","Atlantic Coast Conference",4.86,2183,7.19,4,6
94,"Southeast Missouri State","OVC",4.81,2187,3.3,0,1
95,"Maine","Colonial",4.8,2200,-5.13,1,1
96,"Bethune-Cookman","Mid-Eastern",4.79,2200,-4.78,1,1
97,"Missouri State","MVFC",4.78,2186,3.1,0,1
98,"Jacksonville State","OVC",4.77,2212,-12.99,1,0
99,"UNLV","Mountain West Conference",4.76,2198,-5.13,5,5
100,"William & Mary","Colonial",4.74,2186,1.32,0,1
101,"Villanova","Colonial",4.71,2186,0.4,0,1
102,"Louisiana-Monroe","Sun Belt Conference",4.62,2201,-11.15,5,5
103,"Troy","Sun Belt Conference",4.61,2197,-8.99,5,5
104,"Montana State","Big Sky",4.61,2186,-2.63,0,1
105,"Samford","Southern",4.6,2200,-11.15,1,1
106,"North Carolina State","Atlantic Coast Conference",4.6,2161,12.32,3,6
107,"Southern Illinois","MVFC",4.59,2186,-3.49,0,1
108,"Illinois","Big Ten Conference",4.56,2161,10.8,3,6
109,"Florida Atlantic","Conference USA",4.54,2171,3.99,3,6
110,"Wyoming","Mountain West Conference",4.5,2185,-5.81,4,5
111,"SMU","American Athletic Conference",4.46,2177,-1.93,3,5
112,"Furman","Southern",4.45,2188,-9.13,0,1
113,"South Alabama","Sun Belt Conference",4.43,2172,-0.14,3,5
114,"Memphis","American Athletic Conference",4.4,2157,7.94,2,6
115,"Portland State","Big Sky",4.37,2186,-10.19,0,1
116,"James Madison","Colonial",4.37,2186,-10.35,0,1
117,"Kentucky","Southeastern Conference",4.33,2149,10.47,2,7
118,"Southern Utah","Big Sky",4.3,2200,-20.54,1,1
119,"Sam Houston State","Southland",4.27,2187,-14.1,0,1
120,"South Carolina State","Mid-Eastern",4.26,2187,-14.53,0,1
121,"Colorado","Pac-12 Conference",4.21,2166,-3.44,3,6
122,"Arkansas","Southeastern Conference",4.21,2155,3.6,3,7
123,"Southeastern Louisiana","Southland",4.21,2186,-15.42,0,1
124,"Eastern Kentucky","OVC",4.19,2186,-16.24,0,1
125,"Illinois State","MVFC",4.16,2186,-17.5,0,1
126,"Liberty","Big South",4.1,2186,-19.45,0,1
127,"Northern Arizona","Big Sky",4.09,2186,-19.67,0,1
128,"Cal Poly","Big Sky",4.07,2173,-12.16,0,2
129,"New Hampshire","Colonial",4.06,2186,-20.36,0,1
130,"Central Arkansas","Southland",4.04,2186,-21.09,0,1
131,"Old Dominion","Colonial",4.04,2174,-13.68,1,3
132,"Louisiana Tech","Conference USA",4.02,2186,-21.61,4,5
133,"South Florida","American Athletic Conference",4,2159,-5.95,2,6
134,"Appalachian State","Southern",3.98,2188,-23.89,0,1
135,"Youngstown State","MVFC",3.95,2188,-24.75,0,1
136,"Tennessee Tech","OVC",3.95,2187,-24.46,0,1
137,"Wofford","Southern",3.94,2186,-24.36,0,1
138,"New Mexico","Mountain West Conference",3.91,2161,-10.23,3,6
139,"Presbyterian","Big South",3.85,2186,-27.38,0,1
140,"Akron","Mid-American Conference",3.84,2159,-11.43,3,7
141,"South Dakota","MVFC",3.81,2186,-28.75,0,1
142,"Nevada","Mountain West Conference",3.77,2151,-8.62,3,7
143,"Virginia","Atlantic Coast Conference",3.73,2132,1.47,2,8
144,"Kansas","Big 12 Conference",3.66,2146,-8.85,2,7
145,"South Dakota State","MVFC",3.64,2187,-34.48,0,1
146,"Central Michigan","Mid-American Conference",3.63,2170,-24.35,3,6
147,"Abilene Christian","Ind",3.6,2183,-33.53,0,1
148,"Iowa State","Big 12 Conference",3.57,2121,3.22,1,8
149,"Jackson State","Southwestern",3.57,2186,-36.55,0,1
150,"Idaho State","Big Sky",3.52,2188,-38.56,0,1
151,"Army","Independent",3.52,2145,-12.91,3,7
152,"N.C. Central","Mid-Eastern",3.48,2186,-39.18,0,1
153,"Western Illinois","MVFC",3.48,2174,-31.76,0,2
154,"Alcorn St.","Southwestern",3.47,2186,-39.28,0,1
155,"Alabama St.","Southwestern",3.46,2184,-38.59,0,1
156,"Prairie View A&M","Southwestern",3.46,2187,-40.3,0,1
157,"Indiana State","MVFC",3.46,2173,-31.99,0,2
158,"Southern University","Southwestern",3.43,2186,-41.06,0,1
159,"Howard","Mid-Eastern",3.42,2186,-41.31,0,1
160,"Northern Colorado","Big Sky",3.41,2186,-41.46,0,1
161,"Stephen F. Austin","Southland",3.35,2187,-43.79,0,1
162,"Sacramento State","Big Sky",3.33,2174,-36.4,0,2
163,"California","Pac-12 Conference",3.33,2115,-1.2,1,9
164,"Murray State","OVC",3.32,2174,-36.91,0,2
165,"UC Davis","Big Sky",3.3,2186,-44.69,0,1
166,"Tennessee-Martin","OVC",3.28,2171,-36.23,0,2
167,"Tulsa","Conference USA",3.28,2141,-18.34,2,7
168,"Temple","American Athletic Conference",3.26,2120,-6.79,1,8
169,"Charleston So.","Big South",3.25,2186,-46.58,0,1
170,"Norfolk State","Mid-Eastern",3.24,2186,-46.78,0,1
171,"Colgate","Patriot",3.24,2186,-47.2,0,1
172,"Delaware","Colonial",3.17,2187,-49.57,0,1
173,"Kent State","Mid-American Conference",3.17,2129,-15,2,8
174,"Lamar","Southland",3.1,2174,-44.1,0,2
175,"Nicholls State","Southland",3.04,2185,-52.95,1,2
176,"Gardner-Webb","Big South",3.01,2187,-54.83,0,1
177,"Air Force","Mountain West Conference",3.01,2130,-20.37,2,8
178,"Florida A&M","Mid-Eastern",2.97,2188,-56.67,0,1
179,"Western Carolina","Southern",2.93,2162,-42.49,0,3
180,"UAB","Conference USA",2.92,2138,-28,2,7
181,"Morgan State","Mid-Eastern",2.9,2173,-49.98,0,2
182,"Purdue","Big Ten Conference",2.88,2124,-21.21,1,8
183,"Grambling","Southwestern",2.88,2186,-58.46,0,1
184,"Connecticut","American Athletic Conference",2.8,2111,-15.66,0,8
185,"Elon","Southern",2.76,2186,-62.72,0,1
186,"Wagner","Northeast",2.75,2185,-62.47,0,1
187,"Virginia Military","Big South",2.69,2186,-64.75,0,1
188,"Arkansas-Pine Bluff","Southwestern",2.68,2186,-65.12,0,1
189,"Hawai'i","Mountain West Conference",2.64,2095,-11.64,0,9
190,"Austin Peay","OVC",2.59,2161,-52.86,0,3
191,"Massachusetts","Mid-American Conference",2.58,2119,-27.71,1,8
192,"Eastern Michigan","Mid-American Conference",2.42,2133,-41.58,2,8
193,"UTEP","Conference USA",2.33,2116,-33.69,1,8
194,"Weber State","Big Sky",2.26,2174,-71.29,0,2
195,"Northwestern State","Southland",2.23,2173,-71.4,0,2
196,"Western Michigan","Mid-American Conference",2.16,2109,-35.16,1,9
197,"New Mexico State","Independent",2.07,2112,-39.99,1,9
198,"Georgia State","Sun Belt Conference",2.05,2097,-31.36,0,9
199,"Idaho","Independent",1.96,2109,-41.39,1,9
200,"Florida International","Conference USA",1.85,2118,-50.39,1,8
201,"Miami (Ohio)","Mid-American Conference",1.63,2092,-42.45,0,9
202,"Savannah State","Mid-Eastern",1.54,2175,-95.01,0,2
203,"Southern Mississippi","Conference USA",1.36,2096,-53.12,0,9
